,0,label
747,"[1, 60, 0]",321
748,"[1, 60, 0]",321
749,"[1, 60, 0]",321
750,"[1, 60, 0]",321
751,"[1, 60, 0]",321
752,"[1, 60, 0]",321
753,"[1, 60, 0]",321
754,"[1, 60, 0]",321
755,"[1, 60, 0]",321
756,"[1, 60, 0]",321
757,"[1, 60, 0]",321
758,"[1, 60, 0]",321
759,"[1, 60, 0]",321
760,"[1, 60, 0]",321
761,"[1, 60, 0]",321
762,"[1, 60, 0]",321
763,"[1, 60, 0]",321
764,"[1, 60, 0]",321
765,"[1, 60, 0]",321
766,"[1, 60, 0]",321
767,"[1, 60, 0]",321
768,"[1, 60, 0]",321
769,"[1, 60, 0]",321
770,"[1, 60, 0]",321
771,"[1, 60, 0]",321
772,"[1, 60, 0]",321
773,"[1, 60, 0]",321
774,"[1, 60, 0]",321
775,"[1, 60, 0]",321
776,"[1, 60, 0]",321
777,"[1, 60, 0]",321
778,"[1, 60, 0]",321
779,"[1, 60, 0]",321
780,"[1, 60, 0]",321
781,"[1, 60, 0]",321
782,"[1, 60, 0]",321
783,"[1, 60, 0]",321
784,"[1, 60, 0]",321
785,"[1, 60, 0]",321
786,"[1, 60, 0]",321
787,"[1, 60, 0]",321
788,"[1, 60, 0]",321
789,"[1, 60, 0]",321
790,"[1, 60, 0]",321
791,"[1, 60, 0]",321
792,"[1, 60, 0]",321
793,"[1, 60, 0]",321
794,"[1, 60, 0]",321
795,"[1, 60, 0]",321
796,"[1, 60, 0]",321
797,"[1, 60, 0]",321
798,"[1, 60, 0]",321
799,"[1, 60, 0]",321
800,"[1, 118, 0]",410
801,"[1, 118, 0]",410
802,"[1, 118, 0]",410
803,"[1, 118, 0]",410
804,"[1, 118, 0]",410
805,"[1, 118, 0]",410
806,"[1, 118, 0]",410
807,"[1, 118, 0]",410
808,"[1, 118, 0]",410
809,"[1, 118, 0]",410
810,"[1, 118, 0]",410
811,"[1, 118, 0]",410
812,"[1, 118, 0]",410
813,"[1, 64, 0]",410
814,"[1, 118, 0]",410
815,"[1, 118, 0]",410
816,"[1, 118, 0]",410
817,"[1, 118, 0]",410
818,"[1, 118, 0]",410
819,"[1, 118, 0]",410
820,"[1, 118, 0]",410
821,"[1, 118, 0]",410
822,"[1, 118, 0]",410
823,"[1, 118, 0]",410
824,"[1, 118, 0]",410
825,"[1, 118, 0]",410
826,"[1, 118, 0]",410
827,"[1, 118, 0]",410
828,"[1, 118, 0]",410
829,"[1, 118, 0]",410
830,"[1, 118, 0]",410
831,"[1, 118, 0]",410
832,"[1, 118, 0]",410
833,"[1, 118, 0]",410
834,"[1, 118, 0]",410
835,"[1, 118, 0]",410
836,"[1, 118, 0]",410
837,"[1, 118, 0]",410
838,"[1, 118, 0]",410
839,"[1, 118, 0]",410
840,"[1, 118, 0]",410
841,"[1, 118, 0]",410
842,"[1, 118, 0]",410
843,"[1, 118, 0]",410
844,"[1, 118, 0]",410
845,"[1, 118, 0]",410
846,"[1, 118, 0]",410
847,"[1, 118, 0]",410
848,"[1, 118, 0]",410
849,"[1, 118, 0]",410
850,"[1, 118, 0]",410
851,"[1, 118, 0]",410
852,"[1, 118, 0]",410
853,"[1, 118, 0]",410
854,"[1, 118, 0]",410
855,"[1, 118, 0]",410
856,"[1, 118, 0]",410
857,"[1, 118, 0]",410
858,"[1, 118, 0]",410
859,"[1, 118, 0]",410
860,"[1, 118, 0]",410
861,"[1, 118, 0]",410
862,"[1, 118, 0]",410
863,"[1, 118, 0]",410
864,"[1, 118, 0]",410
865,"[1, 118, 0]",410
866,"[1, 118, 0]",410
867,"[1, 118, 0]",410
868,"[1, 118, 0]",410
869,"[1, 118, 0]",410
870,"[1, 118, 0]",410
871,"[1, 118, 0]",410
872,"[1, 118, 0]",410
873,"[1, 118, 0]",410
874,"[1, 118, 0]",410
875,"[1, 64, 0]",410
876,"[1, 118, 0]",410
877,"[1, 118, 0]",410
878,"[1, 118, 0]",410
879,"[1, 118, 0]",410
880,"[1, 118, 0]",410
881,"[1, 118, 0]",410
882,"[1, 118, 0]",410
883,"[1, 118, 0]",410
884,"[1, 118, 0]",410
885,"[1, 118, 0]",410
886,"[1, 118, 0]",410
887,"[1, 118, 0]",410
888,"[1, 118, 0]",410
889,"[1, 118, 0]",410
890,"[1, 118, 0]",410
891,"[1, 118, 0]",410
892,"[1, 118, 0]",410
893,"[1, 118, 0]",410
894,"[1, 118, 0]",410
895,"[1, 118, 0]",410
896,"[1, 118, 0]",410
897,"[1, 118, 0]",410
898,"[1, 118, 0]",410
899,"[1, 118, 0]",410
900,"[1, 118, 0]",411
901,"[1, 118, 0]",411
902,"[1, 118, 0]",411
903,"[1, 118, 0]",411
904,"[1, 118, 0]",411
905,"[1, 118, 0]",411
906,"[1, 118, 0]",411
907,"[1, 118, 0]",411
908,"[1, 118, 0]",411
909,"[1, 118, 0]",411
910,"[1, 118, 0]",411
911,"[1, 118, 0]",411
912,"[1, 118, 0]",411
913,"[1, 118, 0]",411
914,"[1, 118, 0]",411
915,"[1, 266, 0]",411
916,"[1, 118, 0]",411
917,"[1, 118, 0]",411
918,"[1, 118, 0]",411
919,"[1, 118, 0]",411
920,"[1, 118, 0]",411
921,"[1, 118, 0]",411
