,0,1,2,3,4,5,6,7,8,9,label
104,"[1, 32, 0]","[0, 32, 89]","[1, 20, 90]","[1, 1915, 91]","[0, 32, 201]","[1, 1380, 281]","[0, 1380, 484]","[0, 1380, 484]","[0, 1380, 484]","[0, 245, 484]",211
105,"[1, 32, 0]","[0, 32, 126]","[1, 20, 126]","[1, 1915, 128]","[1, 1380, 385]","[0, 32, 573]","[0, 1380, 573]","[0, 1380, 573]","[0, 1380, 573]","[0, 247, 573]",211
106,"[1, 32, 0]","[0, 32, 79]","[1, 20, 79]","[1, 1915, 80]","[0, 32, 165]","[0, 20, 165]","[0, 1380, 172]","[0, 1380, 172]","[1, 20, 172]","[0, 1380, 173]",211
107,"[1, 32, 0]","[0, 32, 72]","[1, 20, 72]","[1, 1915, 73]","[0, 32, 150]","[1, 1380, 218]","[0, 20, 251]","[0, 1380, 251]","[0, 1380, 251]","[0, 1380, 251]",211
108,"[1, 32, 0]","[0, 32, 83]","[1, 20, 83]","[1, 1915, 85]","[0, 32, 192]","[0, 20, 194]","[0, 1380, 201]","[0, 1380, 202]","[0, 1380, 202]","[0, 247, 202]",211
109,"[1, 32, 0]","[0, 32, 71]","[1, 20, 71]","[1, 1915, 72]","[0, 32, 149]","[0, 20, 149]","[0, 1380, 159]","[0, 1380, 159]","[0, 1380, 159]","[0, 247, 159]",211
110,"[1, 32, 0]","[0, 32, 95]","[1, 20, 95]","[1, 1915, 106]","[0, 32, 189]","[0, 20, 193]","[0, 1380, 196]","[0, 1380, 196]","[0, 1380, 196]","[1, 20, 196]",211
111,"[1, 32, 0]","[0, 32, 82]","[1, 20, 82]","[1, 1915, 83]","[0, 32, 168]","[0, 20, 169]","[0, 1380, 175]","[0, 1380, 175]","[0, 1380, 175]","[1, 20, 175]",211
112,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 1915, 82]","[0, 20, 169]","[0, 20, 169]","[0, 1380, 177]","[0, 1380, 178]","[0, 1380, 178]","[0, 246, 178]",211
113,"[1, 32, 0]","[0, 20, 0]","[0, 1915, 1]","[1, 32, 85]","[1, 20, 87]","[1, 1380, 98]","[1, 1380, 98]","[1, 1380, 98]","[1, 246, 98]","[0, 20, 98]",211
114,"[1, 32, 0]","[0, 32, 71]","[1, 20, 71]","[1, 1915, 72]","[1, 1380, 214]","[0, 32, 428]","[0, 20, 428]","[0, 1380, 428]","[0, 1380, 428]","[0, 1380, 428]",211
115,"[1, 32, 0]","[0, 32, 99]","[1, 20, 99]","[1, 1915, 100]","[0, 32, 183]","[0, 20, 185]","[0, 1380, 191]","[0, 1380, 191]","[0, 1380, 191]","[0, 246, 191]",211
116,"[1, 32, 0]","[0, 32, 95]","[1, 20, 95]","[1, 1915, 96]","[0, 32, 181]","[1, 1380, 299]","[0, 40, 381]","[1, 1380, 614]","[0, 32, 705]","[0, 1380, 705]",211
117,"[1, 32, 0]","[0, 32, 82]","[1, 20, 82]","[1, 1915, 83]","[0, 32, 168]","[0, 20, 180]","[0, 1380, 181]","[0, 1380, 182]","[1, 20, 182]","[0, 1380, 182]",211
118,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 1915, 81]","[0, 32, 165]","[0, 20, 165]","[0, 1380, 170]","[0, 1380, 171]","[1, 20, 171]","[0, 1380, 172]",211
119,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 1915, 81]","[0, 32, 175]","[0, 20, 175]","[0, 1380, 177]","[0, 1380, 179]","[0, 1380, 179]","[0, 245, 179]",211
120,"[1, 150, 0]","[0, 159, 12]","[0, 326, 13]","[0, 51, 13]","[1, 20, 13]","[1, 143, 74]","[1, 1146, 74]","[0, 20, 86]","[0, 191, 103]","[1, 166, 133]",211
121,"[1, 150, 0]","[0, 159, 20]","[0, 330, 20]","[0, 51, 20]","[1, 20, 20]","[1, 143, 68]","[1, 1144, 68]","[0, 20, 83]","[0, 191, 91]","[1, 166, 122]",211
122,"[1, 150, 0]","[0, 159, 15]","[0, 330, 16]","[0, 51, 16]","[1, 20, 16]","[1, 143, 71]","[1, 1146, 71]","[0, 20, 84]","[0, 191, 102]","[1, 166, 134]",211
123,"[1, 219, 0]","[1, 112, 0]","[1, 115, 1]","[0, 20, 10]","[0, 159, 13]","[0, 326, 15]","[0, 51, 15]","[1, 20, 15]","[0, 157, 44]","[0, 105, 44]",211
124,"[1, 150, 0]","[0, 159, 15]","[0, 330, 15]","[0, 51, 15]","[1, 20, 15]","[1, 143, 74]","[1, 1146, 74]","[0, 20, 90]","[0, 191, 95]","[1, 166, 128]",211
125,"[1, 159, 0]","[1, 330, 0]","[1, 51, 0]","[0, 20, 0]","[0, 143, 52]","[0, 1146, 52]","[1, 20, 67]","[1, 191, 70]","[0, 166, 119]","[1, 78, 142]",211
126,"[1, 150, 0]","[0, 159, 13]","[0, 326, 13]","[1, 20, 13]","[0, 51, 13]","[1, 20, 54]","[1, 143, 74]","[1, 1146, 74]","[0, 20, 87]","[0, 191, 100]",211
127,"[1, 143, 0]","[1, 1146, 1]","[0, 20, 29]","[0, 191, 31]","[1, 166, 63]","[0, 78, 91]","[0, 1380, 91]","[0, 51, 91]","[0, 1380, 91]","[0, 51, 91]",211
128,"[1, 143, 0]","[1, 1144, 1]","[0, 20, 13]","[0, 191, 31]","[1, 166, 56]","[0, 78, 83]","[0, 1380, 83]","[0, 51, 83]","[0, 1380, 83]","[0, 51, 83]",211
